,menus.description,menus.name
114,"Seasoned And Blackened Grilled Fish, Shredded Cabbage, Salsa Fresca, Cotija Cheese, Chopped Cilantro And Our Spicy Sriracha Cream Sauce",Taco
115,"(Raw) Ahi Tuna, Soy Vinaigrette, Bean Sprouts, Baby Arugula, Soy Sauce Reduction, Tortilla Strips, Cilantro And Kick Ass Cilantro Sauce",Taco
117,Carne Asada Or Grilled Chicken.,Taco
118,"Grilled Fish, Shredded Cabbage Pico de Gallo, Cotija Cheese And Spicy Sriracha Cream Sauce.",Taco
119,Mix and match tacos with rice and beans,Taco
121,Octopus,Taco
124,"Our special calabacitas served on soft corn tortillas and topped with shredded lettuce, black beans, cucumber, radish, onion, queso fresco and a small scoop of guacamole, salsa fresca and sour cream.",Taco
125,"Four crunchy tacos served with your favorite protein, salsa fresca and cheese. Served with a refreshing Mexican salad drizzled with poppy seed dressing and a side of guacamole.",Taco
126,"Charbroiled breast of chicken on shredded lettuce, grated Cheddar, refried beans, guacamole and sour cream, all in a crisp taco shell",Taco
127,Main i pico slaw i radish i cilantro-lime creme organic mixed greens i white balsamic vinaigrette,Taco
128,Blackened organic tempeh i tempeh chorizo i pico de gallo house -made guacamole i radish i organic mixed greens white balsamic vinaigrette i tofu-cilantro creme,Taco
131,"Two smoked pork tacos topped with a hot salsa, honey chipotle and cheddar cheese, served with a side of sour cream.",Taco
132,"Wahoo, avocado, cabbage, pico de gallo  and avocado salsa.",Taco
133,"Hand breaded fried wahoo, topped with   cabbage, pico de gallo and tangy salsa",Taco
134,"Any combination of two original baja or americano soft  tacos. served with rice and black or pinto beans. choice  of chicken, pork carnitas, steak, wahoo or shrimp.",Taco
135,"Grilled corn tortillas with salsa, onions and cilantro.  choice of chicken, pork carnitas, steak or shrimp.",Taco
140,"Grilled or blackened with house made tortilla, shredded cabbage and fennel slaw with a lime chipotle yogurt drizzle.",Taco
141,"Grilled or blackened with house made tortilla, shredded cabbage and fennel slaw with a lime chipotle yogurt drizzle.",Taco
142,"Slow cooked leg of duck, house made tortilla with leek, sweet potato apple slaw, pomegranate reduction",Taco
143,"Roast beef tacos with corn tortillas. served with   beans, green sauce, and pico de gallo.",Taco
147,"One bean tostada, chile con queso, and one cheese quesadilla",Taco
151,"Spicy chili or choice of meat plus lettuce, onions, cheese, salsa",Taco
156,"Meat selections for tacos, grilled flank steak, grilled chicken, ground beef, seasoned pork, tomgoe, vegetarian",Taco
157,"Grilled shrimp with ranchero sauce, onions, cilantro on mini corn tortillas",Taco
158,Contains wheat,Taco
159,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
160,"Wahoo, avocado, cabbage, pico de gallo  and avocado salsa.",Taco
161,"Hand breaded fried wahoo, topped with   cabbage, pico de gallo and tangy salsa",Taco
162,"Any combination of two original baja or americano soft  tacos. served with rice and black or pinto beans. choice  of chicken, pork carnitas, steak, wahoo or shrimp.",Taco
163,"Grilled corn tortillas with salsa, onions and cilantro.  choice of chicken, pork carnitas, steak or shrimp.",Taco
168,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
169,"Two corn tortillas topped with blackened tilapia, Asian slaw and cilantro aioli.",Taco
171,"Choice of sausage, bacon, chorizo, or potatoes with scrambled egg and cheese in a flour tortilla",Taco
172,"sweet corn, black beans, avocado, pico de gallo, lettuce cups and queso fresca",Taco
173,"wasabi caviar, sakimole",Taco
174,"Soft corn tortillas filled with grilled or crispy tempura fish, avocado, tomato, onions, cilantro and crema.  servedwith black beans and rice",Taco
176,"Soft corn tortillas filled with spicy chicken, cheese, avocado, tomato, onions, cilantro and crema.  served with black beans and rice",Taco
177,"Steamed asian buns with roasted pork, marinated cucumbers, carrots and onion with chiles, cilantro and sesame seeds",Taco
178,"Seasoned ground beef, cheddar and mozzarella with our homemade salsa, topped with lettuce and a drizzle of sour cream",Taco
185,Beef or chicken,Taco
187,Beef or chicken,Taco
192,"Tomatillo salsa, queso fresco, pickled onions",Taco
193,"Tomatillo salsa, queso fresco, pickled onions",Taco
194,"Pacific ono, smoked jalapeno ranch, salsa fresca",Taco
195,"Chipotle Ranch, salsa fresca, fresh lime",Taco
196,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
197,Burrito dinner with rice and beans,Taco
198,"Seasonal veggies, house made tortilla",Taco
199,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
201,"Cabbage, tropical salsa, and queso fresco",Taco
203,"Creamy avocado sauce, cabbage, pico de gallo, and queso fresco",Taco
206,"1 Dozen. Shredded Beef or Chicken Tacos served with lettuce, taco sauce and cheese all on the side.",Taco
208,Beef or chicken,Taco
210,Beef or chicken,Taco
211,Beef or chicken,Taco
212,Beef or chicken,Taco
214,Beef or chicken,Taco
215,"Fresh local cod sauteed in white wine, garlic, homemade salsa, lime juice and cilantro. served in a three grilled flour tortilla with monterey jack, cheddar, lettuce. served with mexi-rice and beans.",Taco
217,"Three grilled flour tortillas filled with our very own homemade chili, scrambled eggs, fresh tomato salsa, monterey jack and cheddar cheese. served with homefies.",Taco
218,3 tacos with rice and beans.,Taco
221,"Steak, chicken or beef",Taco
222,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
225,Beef or chicken.,Taco
226,"Hard shell shredded beef or chicken with cheese, lettuce, tomatoes and onions.",Taco
227,"Seasoned fish grilled or fried with pico de gallo, cabbage and fish sauce.",Taco
228,"Fresh marinated shrimp grilled with onions, peppers, tomatoes and shrimp sauce.",Taco
229,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
233,"Any combinations of tacos, a side, and a drink",Taco
234,"Any combinations of tacos, a side, and a drink",Taco
235,Lightly battered fish fillet drizzled with creamy lime sauce and spicy fire-roasted chipotle salsa and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
237,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
243,"smoked chicken, guacamole, pico de gallo and lettuce",Taco
244,"Jicama slaw, roasted tomato-chipotle salsa and crispy red onions",Taco
246,Hard deep fried tacos dinner,Taco
247,Include 12oz drink,Taco
251,Hard deep fried tacos dinner,Taco
252,Include 12oz drink,Taco
256,"Togorashi duck confit, shaved carrot, soy sesame glaze",Taco
262,"Beef or chicken. with onions, olives, tomatoes, cheddar cheese and lettuce",Taco
266,"Fresh guacamole, cheese, salsa fresca and lettuce. Chicken taco drizzled with chipotle sauce. With chicken or steak.",Taco
267,"Fresh guacamole, cheese, salsa fresca and lettuce. Chicken taco drizzled with chipotle sauce. With grilled all natural chicken raised without antibiotics or steak.",Taco
268,Grilled all natural chicken raised without antibiotics,Taco
273,"Mozzarella cheese and sauce topped with hamburg, tomato, lettuce, cheddar, sour cream and salsa.",Taco
274,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
278,"Soft corn tortillas filled with grilled or crispy tempura fish, avocado, tomato, onions, cilantro and crema.  servedwith black beans and rice",Taco
280,"Soft corn tortillas filled with spicy chicken, cheese, avocado, tomato, onions, cilantro and crema.  served with black beans and rice",Taco
281,"Steamed asian buns with roasted pork, marinated cucumbers, carrots and onion with chiles, cilantro and sesame seeds",Taco
283,Chicken or shredded beef (2),Taco
284,Carne asada (2),Taco
285,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
286,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
290,"Order of three soft flour tacos stuffed with taco meat, lettuce, tomato and cheese. Served with side of spanish rice and refried beans.",Taco
291,"Taco meat, refried beans, diced tomato, lettuce, taco chips and Mozzarella.",Taco
294,"Melted cheddar, taco meat, salsa, shredded lettuce tomatoes and onions.",Taco
295,"Cod with coleslaw, diced tomatoes, and avocado on corn tortillas. Served with salsa and sour cream.",Taco
296,"Diced chicken, cheddar cheese, coleslaw, diced tomatoes and avocado on corn tortillas. Served with salsa and sour cream.",Taco
297,With chipotle sauce,Taco
298,With chipotle sauce,Taco
304,"Tempura fried cod or shrimp, jicama wrap",Taco
305,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
307,"Two tacos, flour or corn, pico de gallo salsa,   lettuce, cheese, and fire grilled charo sauce.",Taco
311,One taco.,Taco
313,"guacamole, pickled cabbage, ham hock braised black beans and rice",Taco
314,"Crudito, avocado",Taco
315,"Three tacos filled with marinated chicken and sewed with beans, rice and pico de gallo.",Taco
316,"Three tacos filled with marinated beef strips and served with rice, beans and pico de gallo.",Taco
319,"Two tacos with your choice of grilled shrimp or white fish, cilantro, onions, green cabbage spices and guacamole",Taco
322,Beef or chicken,Taco
324,"Fresh guacamole, cheese, salsa fresca and lettuce. Chicken taco drizzled with chipotle sauce. With chicken or steak.",Taco
325,"Fresh guacamole, cheese, salsa fresca and lettuce. Chicken taco drizzled with chipotle sauce. With grilled all natural chicken raised without antibiotics or steak.",Taco
326,Grilled all natural chicken raised without antibiotics,Taco
331,"Lettuce, pickled cucumber, gochujang, flour tortilla",Taco
332,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
334,"Two tacos with cilantro, onion, sour cream, homemade salsa and local queso fresco. served with chips.",Taco
336,"snapper, hawaiian slaw, cilantro",Taco
337,"Three tacos filled with strips of tender steak, with pico de gallo, special tomatillo sauce and order of beans, your choice of corn or flour tortillas",Taco
338,"Three soft tacos filled with breaded and fried filet of grouper. served with rice, guacamole and pico de gallo",Taco
343,"Flour tortilla shell filled with chicken, lettuce and cheese",Taco
345,Chicken tacos-order of three (3) tacos,Taco
347,"Served baja style, spicy slaw and chipotte aioli, served with a caesar salad",Taco
348,"Grilled Tilapia nestled in flour tortillas, served with cabbage, dynamite sauce and mango salsa.",Taco
355,"(Crispy fish, cabbage and baja sauce served with beans and rice chips and salsa)",Taco
357,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
359,Fried fish tacos,Taco
360,Fish tacos 2.75 each,Taco
361,"Shrimp tacos. Capeados, al mojod de ajo, a la diabla 2.95 each",Taco
365,"Blackened white fish topped with pico de gallo, cabbage and a chipotle sauce inside a flour tortilla.",Taco
366,"Marinated beef sirloin with cabbage, carrots, tomatoes, cilantro, avocado and sour cream. served with asian slaw and roasted tomatillo salsa",Taco
368,"A fresh flour tortilla filled with your choice of beef, chicken or pork topped with cheese, lettuce, tomato and onion.",Taco
369,All day long,Taco
370,A smaller version of the tavern taco.,Taco
373,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
374,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
375,Beef or chicken.,Taco
376,"Hard shell shredded beef or chicken with cheese, lettuce, tomatoes and onions.",Taco
377,"Seasoned fish grilled or fried with pico de gallo, cabbage and fish sauce.",Taco
378,"Fresh marinated shrimp grilled with onions, peppers, tomatoes and shrimp sauce.",Taco
381,"Grilled white fish, lettuce, tomato, and parmesan cheese",Taco
382,"Two warm tortillas stuffed with house made crab cakes topped with lettuce, tomato, parmesan cheese, drizzled with roasted red pepper aioli",Taco
383,"Grilled chicken, cheese tomato, lettuce and spicy may.",Taco
386,"Peruvian grilled chicken, panela cheese, pico de gallo and spicy salsa.",Taco
387,"Peruvian grilled chicken, panela cheese, pico de gallo and cilantro ranch.",Taco
388,"Crisp chicken strips, coleslaw, cilantro and chipotle honey mustard.",Taco
389,"Crisp chicken strips, bacon, pico de gallo and cilantro ranch.",Taco
390,Arroz y frijoles,Taco
392,Three tacos (hard or soft shell) with your choice of filling served on a plate with rice and beans,Taco
394,"Two tacos with your choice of corn or flour tortillas, warmed with our cheese blend,  then topped with cilantro, and white onion. served on a plate with rice and beans. your choice of filling",Taco
397,"Slaw, pickled red onion, guacamole",Taco
398,"Pico de gallo, salsa verde, cilantro sour cream",Taco
399,"Pico de gallo, salsa verde, cilantro sour cream",Taco
400,Marinated with honduran chimol,Taco
402,"A crispy flour tortilla, chicken or beef, lettuce, tomatoes, cheese, and sour cream",Taco
407,"four soft tacos stuffed with sushi grade tuna, thinly sliced english cucumber and radish served with spicy mayo",Taco
408,grilled mahi mahi with mango salsa and avocado lime crema,Taco
409,"Refried beans, taco flavored beef, and mozzarella cheese baked and topped with lettuce, tomato, cheddar cheese, and taco chips.",Taco
410,"Beef or chicken. with onions, olives, tomatoes, cheddar cheese and lettuce",Taco
411,"Taco meat, tortilla chips, extra cheese, black olives, onions, cheddar cheese on fresh salsa topped with lettuce, sour cream, and sliced tomatoes.",Taco
415,Red chili-braised beef or chicken in a deep fried flour tortilla bowl,Taco
416,Red chili-braised beef or chicken in a deep fried flour tortilla bowl,Taco
417,"Choice of hard or soft taco shells (3 per selection) . also choice of sauteed chicken, or seasoned beef. tacos are topped with cheese, onions, lettuce, and tomato. salsa and sour cream are served on the side. served with refried beans and seasoned rice.",Taco
420,"Served with pico de gallo, rice and refried beans",Taco
423,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
424,"Olive oil, taco seasoning, beef, red onions, tomatoes, black olives and cheddar cheese, topped with ranch dressing.",Taco
425,In our sweet and spicy BBQ sauce topped with a creamy slaw and pico de gallo on soft flour tortillas.,Taco
429,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
430,"Three flour tortillas with tomatoes, cheese, lettuce, honey-chipotle drizzle and ranch dressing.",Taco
431,"Three flour tortillas with crispy chicken crispers, applewood smoked bacon, tomatoes, cheese, lettuce, honey-chipotle drizzle and ranch dressing.",Taco
432,"Three flour tortillas with grilled chicken, applewood smoked bacon, tomatoes, cheese, lettuce and ancho-chile ranch dressing.",Taco
433,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
434,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
443,"Grilled quesadilla loaded with blended cheeses and taco beef served with shredded lettuce, diced tomato and sour cream",Taco
444,"Three soft flour tortillas shells stuffed with baked Tilapia, cabbage, black corn salsa and lemon aioli",Taco
445,"Organic chicken confit, local tomato salsa, cilantro",Taco
446,Lightly battered fish fillet drizzled with creamy lime sauce and spicy fire-roasted chipotle salsa and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
448,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
452,"Two mushrooms tacos, bell peper, onions, corn and melted cheese. Served with side of rice.",Taco
454,"Two grilled cactus tacos, topped with fresh Mexican cheese and guacamole. Served with side of beans.",Taco
462,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
467,Beef or chicken,Taco
468,"With rice or fideo, refried or black beans",Taco
469,A la carte,Taco
470,A la carte,Taco
471,A la carte,Taco
472,"Blackened white fish topped with pico de gallo, cabbage and a chipotle sauce inside a flour tortilla.",Taco
474,"Fresh guacamole, cheese, salsa fresca and lettuce. Chicken taco drizzled with chipotle sauce. With grilled all natural chicken raised without antibiotics or steak.",Taco
475,Grilled all natural chicken raised without antibiotics,Taco
481,"Our famous beef or chicken fajitas with grilled onions rolled in a large flour tortilla, served with chile con queso.",Taco
482,"Our famous carnitas chopped and mixed with fresh jaiapenos, onions and cilantro, rolled in a large homemade flour tortilla, served with tomatillo sauce.",Taco
484,"Your choice of fajita beef or chicken taco, with grilled onions, served with a side of chile con queso.",Taco
485,"One fajita taco and your choice of a medium chicken soup, chicken tortilla or beef soup, served with chopped avocado, pico de gallo and tortilla strips.",Taco
486,"Ground beef or ranchero chicken with lettuce, tomato and cheese.",Taco
487,"(1) beef or chicken fajita taco and (1) chicken flauta, served with sour cream, guacamole and pico de gallo.",Taco
488,"(1) beef or chicken fajita taco and (1) cheese enchilada, served with guacamole and pico de gallo.",Taco
489,"Beef or chicken fajita taco and small soup (chicken, beef vegetable or bean) , served with sliced avocado and pico de gallo.",Taco
492,"Two crispy or soft tacos stuffed with our ranchero chicken or ground beef, lettuce, tomatoes and cheese.",Taco
493,(1) crispy or soft taco (ground beef or chicken ranchero) with (1) choose enchilada.,Taco
494,"(1) chile con queso puff and (1) ground beef or chicken ranchero crispy soft taco, served with guacamole.",Taco
495,(Beef or chicken) served with rice and beans,Taco
498,"Corn tortillas, carnitas, caramelized onion, tomatillo salsa, cilantro and cotija cheese",Taco
499,"(Taco salad) served in a flour tortilla, beans beef, sauce, lettuce, tomatoes, sour cream and guacamole.",Taco
500,"Three soft corn shell tacos, stuffed, with seasoned fried pork chunks, fresh tomatoes, onions, jalapefios and delicious guacamole and silantro",Taco
501,Taquitos (chicken or beef),Taco
502,Chicken or beef,Taco
506,Baja style or grilled fresh fish with an achiote marinade. topped with our chipotle red pepper salsa and jicama cole slaw. served with frijoles de la olla,Taco
508,"Two charbroiled steak, carnitas or chicken breast tacos served with black beans and guacamole",Taco
510,"Mexican seasoned tri pulse sprout filling on soft corn tortillas with cheese, sprouts and our avocado salsa. Jalapeno on request",Taco
514,With guacamole,Taco
515,With guacamole,Taco
516,"(lettuce, cheese, guacamole, sour cream)",Taco
517,"(lettuce, cheese)",Taco
518,"2 tacos with a crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce.",Taco
519,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
521,"Grilled steak or chicken on hand made tortilla topped with onion, cilantro and salsa. Comes with beans and rice.",Taco
522,"Cheese chile relleno, your choice of enchilada (cheese, beef, chicken or pork) , taco (beef, chicken, asada, carnitas or potato) and tamale (beef, chicken or pork) .",Taco
523,Cheese chile relleno and your choice of taco and enchilada.,Taco
524,Cheese chile relleno with your choice of taco.,Taco
526,Two soft flour or corn tortillas with our classic carnitas.,Taco
527,Two soft corn or flour tortilla tacos filled with our delicious carne asada.,Taco
529,Your choice of both.,Taco
530,Your choice of both.,Taco
531,"Your choice of beef, chicken or ceviche.",Taco
532,"One taco filled with beef, carnitas, chicken, ceviche or steak.",Taco
533,"Taco with your choice of beef, chicken or carnitas.",Taco
536,A mini corn tortilla stuffed with lobster salad,Taco
537,"Two corn tortillas filled with fajita beef or chicken, pico de gallo and melted monterrey jack cheese. served with rice and beans.",Taco
540,"Three pulled pork tacos with red onions, cilantro, cheddar, mozzarella, and radishes (substitute chicken)",Taco
542,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
543,"Two tacos on freshly made, soft flour tortillas, with your choice of marinated and grilled meats or veggies, lettuce, cheese, and salsa.",Taco
546,"Beef, chicken, or steak.",Taco
547,Fish taco with rice and beans.,Taco
550,"Asada, al pastor or chicken. Served with rice and beans.",Taco
552,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
553,"Roasted Tomato Salsa, Corn-Jicama Slaw, Guacamole, Serrano-Honey Vinaigrette",Taco
554,"Three handmade corn tortillas, molcajete salsa, cilantro rice",Taco
555,"Grilled mahi mahi, corn tortillas, cabbage escabeche, pico de gallo and chipotle aioli",Taco
557,"Two crunchy corn tortillas, fried haddock, baby greens, grilled pineapple salsa and avocado-poppy seed dressing",Taco
558,"Beef, onion, cheddar cheese, lettuce,  refried beans,  fresh tomato, and taco sauce.",Taco
559,"corn tortillas, red cabbage slaw, avocado, salsa",Taco
560,"red cabbage slaw, avocado, salsa, sour cream sauce (please specify corn tortillas)",Taco
561,"Blackened tilapia in two flour tortillas, fresh avocado, shredded cabbage, monterey jack cheese, fresh pineapple salsa and bistro sauce.  Served with borracho beans.",Taco
562,"Spicy ground beef, soft flour tortillas, tomatoes, cheddar, refried beans, Spanish rice, house made tortilla chips and salsa.",Taco
563,"Crisp tostada chips loaded with taco meat, cheddar and jack cheeses and salsa. Served with pico de gallo, shredded lettuce, jalapenos and sour cream.",Taco
564,Three crispy beef tacos served with borracho beans and rice.,Taco
566,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
567,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
568,"Wahoo, avocado, cabbage, pico de gallo  and avocado salsa.",Taco
569,"Hand breaded fried wahoo, topped with   cabbage, pico de gallo and tangy salsa",Taco
570,"Any combination of two original baja or americano soft  tacos. served with rice and black or pinto beans. choice  of chicken, pork carnitas, steak, wahoo or shrimp.",Taco
571,"Grilled corn tortillas with salsa, onions and cilantro.  choice of chicken, pork carnitas, steak or shrimp.",Taco
576,"Topped with cabbage, pico de gallo and chipotle mayo, served on warm blue corn tortillas",Taco
577,"Two juicy fish filets crusted with cornmeal and panko breadcrumbs with avocado slices, tangy coleslaw, chipotle mayo on warm corn tortillas",Taco
580,"Mexican sausage (chorizo) sauteed with onion, potato, cilantro and cheese served with warm corn tortillas, lettuce and sour cream.",Taco
581,"Soft corn tortillas filled with fresh deep-fried fish, shredded lettuce, and jalapeno mayo and pico de gallo.",Taco
583,"Charcoal grilled chicken chopped into bite-sized pieces, marinated in our homemade adobo sauce topped with melted chihuahua and monterey jack cheese, lettuce and sour cream",Taco
584,"Charbroiled marinated strips of beef cooked to order, topped with cheese, served with warm corn tortillas, lettuce and sour cream.",Taco
585,"Roasted pulled pork served with warm, soft corn tortillas, fresh guacamole and lettuce.",Taco
589,Steamed octopus,Taco
593,"Walleye, apple fennel slaw",Taco
594,Single taco served on a mini warm corn tortilla topped with cilantro and onions and fire salsa,Taco
595,"Beef, beans, lettuce, cheese, salsa",Taco
596,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
598,"Soft corn tortillas filled with grilled or crispy tempura fish, avocado, tomato, onions, cilantro and crema. Served with black beans and rice",Taco
599,"Soft corn tortillas filled with spicy chicken, cheese, avocado, tomato, onions, cilantro and crema. Served with black beans and rice",Taco
600,"Three soft corn tortillas filled with spicy chicken or shrimp, avocado, tomato, onions, cilantro and crema. Served with escabeche vegetable salad",Taco
602,"Grilled aged skirt steak, grilled onion and green pepper, hickory smoked bacon and chihuahua cheese topped with onion haystack. Served with rice, refried beans and your choice of corn or flour tortillas",Taco
604,"Served authentic lime, cilantro and onion or supreme lettuce, tomato, sour cream and cheese",Taco
605,"Seasoned lean ground beef, mild red sauce, mild real cheddar cheese, fresh lettuce and tomato in a soft flour tortilla.",Taco
606,"Choice of 2 original, shredded beef or chicken tacos. all platters served with seasoned mexican rice, homemade beans, guacamole and sour cream. served with 32oz. drink.",Taco
607,"Seasoned lean ground beef, mild real cheddar cheese, fresh lettuce and tomato on a bun.",Taco
608,"Seasoned lean shredded beef , mild real cheddar cheese, fresh lettuce and tomato in a soft corn tortilla.",Taco
611,"Seasoned lean ground beef, mild real cheddar cheese, fresh lettuce and tomato all served in a crispy corn taco shell.",Taco
615,"All white meat chicken, mild red sauce, mild real cheddar cheese, fresh lettuce and tomato in a soft flour tortilla.",Taco
616,"All white meat chicken, spicy green sauce, sour cream, mild real cheddar cheese and fresh lettuce in a soft corn tortilla.",Taco
619,Gluten-friendly,Taco
