,menus.description,menus.name
96,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
98,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
99,"Large flour tortilla stuffed with your choice of meat, cheese, tomatoes, cilantro and onions. carnitas, carne asada, barbacoa or adobada, shredded beef or chicken, bean and cheese",Burrito
101,"Fresh grilled fish, cheese and salsa fresca, wrapped in a warm flour tortilla",Burrito
103,"Large flour tortilla stuffed with your choice of meat, cheese, bell peppers, onions and mushrooms. topped with sour cream and guacamole. served with rice and beans",Burrito
105,"Large flour tortilla stuffed with grilled steak and chicken, beans, cheese, lettuce, tomatoes and spanish rice. topped with sour cream and guacamole. served enchilada style with mexican salad",Burrito
109,"Carne asada, carnitas, chile verde, barbacoa, chile relleno, chorizo, or chicken, chimichanga, or machaca",Burrito
111,"Crispy bacon, avocado, two scrambled eggs, our smoky cheese blend, freshly made pico de gallo and Chipotle sauce hand-wrapped in a large flour tortilla. Grilled and served with crispy hash browns.",Burrito
116,"A Flour Tortilla Stuffed With Carne Asada, Fries, Cheese, Sour Cream And Pico De Gallo",Burrito
120,"Citrus marinated shrimp, rice, cheese, guacamole,  salsa blanca, and pico de gallo salsa",Burrito
122,Refried ranchero beans and white cheese.,Burrito
123,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
129,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
130,"Scrambled eggs, peppers and onions, topped with cheddar cheese and salsa served in a burrito.",Burrito
136,Cabo style or caesar style.,Burrito
137,"Black beans, rice, jack cheese, onions, cilantro and spicy chipotle  sauce.  choice of chicken, pork carnitas, steak, wahoo or shrimp",Burrito
138,"Black or pinto beans, rice, cilantro and onions.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
139,"Melted jack cheese, guacamole and pico de gallo.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
144,"Flour tortilla stuffed with cheese, beans, steak or chicken fajitas cooked with tomatoes, onions, and bell peppers. covered with cheese sauce. served with rice,  lettuce, avocado, sour cream, and pico de gallo.",Burrito
145,"Two chopped beef burritos with cheese sauce. topped   with lettuce, tomatoes, and sour cream.",Burrito
146,"One chicken enchilada topped with lettuce, tomatoes and sour cream",Burrito
148,"A flour tortilla stuffed with beans, cheese and grilled steak or chicken. served with rice, lettuce, pico de gallo, and sour cream.",Burrito
149,"One beef or chicken burrito topped with cheese and tomato sauce, shredded cheese, lettuce, sour cream, and   tomatoes.",Burrito
150,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
152,"Eggs, cheese onions, homemade salsa",Burrito
153,"A large flour tortilla, filled with spanish rice, chicken strips sauteed in garlic, in a spicy hot sauce with traditional mexican spices, topped with sauce and melted cheese, served with lettuce and tomato",Burrito
154,"A flour tortilla, stuffed with a zesty mixture of choice cut beek, topped with sauce, melted cheese and served with lettuce and tomato",Burrito
155,"Flour tortilla with your choice of grilled chicken, marinated steak, shredded beef, or ground beef stuffed with rice, beans, cheese, and topped with salsa ranchera served with rice, beans, sour cream, and guacamole on the side",Burrito
164,Cabo style or caesar style.,Burrito
165,"Black beans, rice, jack cheese, onions, cilantro and spicy chipotle  sauce.  choice of chicken, pork carnitas, steak, wahoo or shrimp",Burrito
166,"Black or pinto beans, rice, cilantro and onions.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
167,"Melted jack cheese, guacamole and pico de gallo.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
170,"Choice of sausage, bacon, chorizo or potatoes with scrambled egg and cheese in a jalapeno cheddar tortilla wrap",Burrito
175,"A monster burrito with chicken, cheese, cilantro rice, onions and peppers.  served with guacamole, sour cream, salsa and black beans",Burrito
179,"3 Eggs, hash brown, homemade salsa, choice of bacon, sausage, ham, turkey, pastrami, chorizo",Burrito
180,"(chicken or beef) a soft flour tortilla filled with slices of steak, grilled onions, nacho cheese. served with lettuce, tomatoes, rice and beans.",Burrito
181,"A flour tortilla stuffed with grilled shrimp and tilapia, cooked with lightly onions, bell peppers, tomatoes and cilantro, topped with cheese dip and a ranchera sauce, served with rice and beans.",Burrito
182,"Order of two burritos stuffed with chopped beef or chicken, topped with green sauce. served with rice and garnished with a guacamolesalad and tomatoes.",Burrito
183,"Order of two burritos, one chicken and one beef, both stuffed with beans and topped with lettuce, tomatoes, sour cream and ranchera sauce.",Burrito
184,"Beef , chicken or beans.",Burrito
186,"One beef burrito with sauce, topped with cheese, lettuce, tomatoes and sour cream.",Burrito
188,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
189,"Hash browns, eggs, cheese, ham bacon and sausage, onions, peppers, mushrooms, olives, and spinach",Burrito
190,"Hash browns, eggs, cheese, sausage covered in gravy",Burrito
191,"Hash browns, eggs, onions and peppers, cheese, and choice of ham, bacon or sausage",Burrito
200,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
202,"Shredded beef, chicken, chile verde, carne asada, or pollo asado along with beans, rice, and lettuce. all covered in cheese and your choice of sauce",Burrito
204,"Grilled Mahi, rice, black beans, pico de gallo, avocados, queso fresco, cabbage, drizzled with our chipotle sauce served with rice and salad",Burrito
205,"Shredded beef and bean burrito covered in enchilada sauce and cheese, served with rice and beans",Burrito
207,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
209,Beef or chicken,Burrito
213,Beef or chicken,Burrito
216,"This burrito can be modified to include veggie mix, ground beef, chicken, steak or fish. the basic bean burrtio is filled with mexi beans, cheddar cheese and salsa. topped with enchilada sauce, monterey jaack and cheddar cheeses, salsa and jalapeno peppers. served with mexi rice.",Burrito
219,"Served with beans, rice and topped with melted cheese.",Burrito
220,"Filled with your choice of meat, beans, lettuce, tomato, and cheese.",Burrito
223,"Pulled chicken with caramelized onions, peppers and black bean chipotle spread",Burrito
224,"A generous portion of scrambled eggs, potatoes, bacon, sausage, and black beans wrapped in a large warm flour tortilla, topped with signature queso, pico de gallo, avocado, sour cream, and green onions. Served with potatoes or grits.",Burrito
230,"The all-new zesty cheesesteak breakfast Burritos are like tiny alarm clocks for your mouth. Combining marinated sirloin steak, zesty cheese sauce, grilled onions, golden tots, fluffy eggs and melty cheddar cheese. Because breakfast should be more Mmmm than Zzzz.",Burrito
231,"Put a stake in your hunger with the new steak and egg breakfast burrito. Savor each bite of marinated sirloin steak, golden tots, melty cheddar cheese and fluffy eggs, all wrapped in a warm flour tortilla.",Burrito
232,"Fresh diced onion, pepper, and mushroom with your choice of ham, turkey, or sausage. Made with two eggs and cheese.",Burrito
236,El pollo loco roja wet burrito is an indulgent and hearty chicken burrito that is smothered in a flavorful colorado sauce and served with our fresh hand-made guacamole and creamy sour cream.,Burrito
238,"El pollo loco chicken avocado burrito is stuffed with our citrus-marinated flame-grilled chicken, fresh avocado, cabbage and creamy cilantro dressing.",Burrito
239,"Large flour tortilla filled with chicken, beef or ground meat",Burrito
240,Grilled skirt steak,Burrito
241,"Large flour tortilla stuffed with grilled chicken, fresh vegetables, mushrooms, rice and beans",Burrito
242,A soft flour tortilla rolled and stuffed with beef or chicken,Burrito
245,Eggs benedict,Burrito
248,Served with rice and beans,Burrito
249,Melted cheese in top,Burrito
250,Burrito in ranchero sauce,Burrito
253,Served with rice and beans,Burrito
254,Melted cheese in top,Burrito
255,Burrito in ranchero sauce,Burrito
257,Any one burrito on menu,Burrito
258,Any one burrito on menu,Burrito
259,Colorado has Grilled Pico De Gallo,Burrito
260,Chicken,Burrito
261,"Potato, Vege, eggs, ham",Burrito
263,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
264,"Eggs, Potato, Refrito Beans, Avocado, Crema Fresca, Ranchero Sauce Served with Potato Chorizo Hash",Burrito
265,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
269,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With chicken or steak.",Burrito
270,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With grilled all natural chicken or steak.",Burrito
271,Melted cheese and salsa fresca. With chicken or steak.,Burrito
272,Melted cheese and salsa fresca. With grilled all natural chicken or steak.,Burrito
275,"Tofu, Spinach, Rice, Lentils, and Ahi Sauce",Burrito
276,"Crispy bacon, avocado, two scrambled eggs, our smoky cheese blend, freshly made pico de gallo and Chipotle sauce hand-wrapped in a large flour tortilla. Grilled and served with crispy hash browns.",Burrito
277,"spinach tortilla, scrambled eggs, ham, onions, bell peppers, cheddar cheese",Burrito
279,"A monster burrito with chicken, cheese, cilantro rice, onions and peppers.  served with guacamole, sour cream, salsa and black beans",Burrito
282,"Beef or chicken rolled in a flour tortilla served with cheese lettuce tomato onion sour cream, guacamole retried beans rice and salsa",Burrito
287,"Corn tortilla served with your choice of meat ham, applewood bacon, scrapple, and turkey or pork sausage, eggs, and homefries. Comes with salsa.",Burrito
288,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
289,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
292,"A huge flour tortilla filled with spicy seasoned ground beef, refried beans, onion, spices and sprinkled with Colby cheese. Garnished with lettuce, fresh diced tomato and picante sauce. Served with spanish rice and refried rice and refried beans.",Burrito
293,"With choice of ham, bacon or sausage, scrambled eggs, cheddar cheese, onions, tomatoes and peppers in a wrapped tortilla with salsa and sour cream on the side.",Burrito
299,"Eggs, italian sausage, bell peppers, spinach, onions, hash browns",Burrito
300,"Eggs, Chorizo, Smoked Gouda, Shallots, Chipotle Sour Cream",Burrito
301,"Eggs, Chorizo, Smoked Gouda, Shallots, Chipotle Sour Cream",Burrito
302,"Eggs, hashbrown, cheese and your choice of bacon, sausage links, ham, chorizo or corned beef hash. Served with a side of home made salsa",Burrito
303,"steak, beans, rice, pico de gallo",Burrito
306,"Cheese, cilantro, mild pico de gallo, corn,   lettuce, tortilla strips, ranch and bbq sauce.",Burrito
308,"Cheese, fresh guacamole, and mild pico de gallo salsa.",Burrito
309,"Parmesan cheese, lettuce, pico de gallo, and caesar dressing",Burrito
310,"Rice, pinto or black beans, cheese, and lettuce.",Burrito
312,"Beans, rice, and cheese with our own spicy garlic sauce.",Burrito
317,"Two burritos filled with beef tips and beans. Covered with cheese and ranchero sauce, then topped with lettuce, tomatoes, guacamole and sour cream.",Burrito
318,"Filled with chicken and beans. Topped with lettuce, sour cream and tomatoes.",Burrito
320,"Home style fresh chile stuffed with queso fresco and jack cheese then lightly battered and fried to perfection wrapped in a flour tortilla with beans, rice, and cheese",Burrito
321,"Slow simmered pork in spicy green chili sauce, beans, rice, and cheese",Burrito
323,Chicken or shredded beef,Burrito
327,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With chicken or steak.",Burrito
328,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With grilled all natural chicken or steak.",Burrito
329,Melted cheese and salsa fresca. With chicken or steak.,Burrito
330,Melted cheese and salsa fresca. With grilled all natural chicken or steak.,Burrito
333,"Beef, chicken or homemade chorizo, rice, beans, quesadilla cheese and avocado. topped with tomatillo salsa and queso blanco.",Burrito
335,"Scrambled eggs, andouille sausage, tomatoes, sweet onions, cheddar, tortilla",Burrito
339,"Two burritos covered with cheese sauce, lettuce, tomatoes and sour cream",Burrito
340,"A flour tortilla with refried beans, grilled beef or chicken and cheese. topped with green tomatillo sauce. served with rice, pico de gallo, quacamole and lettuce",Burrito
341,"One bean burrito, one cheese burrito topped with lettuce, cheese, and sour cream",Burrito
342,Order of two (2) burritos,Burrito
344,"One burrito with sauce, topped with cheese and lettuce",Burrito
349,"Black beans, Spanish rice and beef wrapped and smothered with pork green chili topped with lettuce, tomato, onion and cheese.",Burrito
350,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
351,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
352,Order any burrito served in a  bowl with an optional tortilla  on the side,Burrito
353,"2 scrambled eggs, fresh guacamole, cuban black beans, pico de gallo, cotija cheese, spanish rice, grilled flour tortilla",Burrito
354,"Covered with enchilada sauce and cheese, topped with lettuce, sour cream, guacamole and pico de gallo",Burrito
356,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
358,"Chunks of spicy grilled haddock with rice, peppers, onions mixed greens and a chipotle lime mayo in a flour tortilla",Burrito
362,"Roasted corn rice, organic spinach, veggies, black beans, avocado, salsa fresca, jack and cheddar cheese rolled in a whole wheat tortilla. served with ginger slaw and fresh fruit",Burrito
363,"The all-new zesty cheesesteak breakfast Burritos are like tiny alarm clocks for your mouth. Combining marinated sirloin steak, zesty cheese sauce, grilled onions, golden tots, fluffy eggs and melty cheddar cheese. Because breakfast should be more Mmmm than Zzzz.",Burrito
364,"Put a stake in your hunger with the new steak and egg breakfast burrito. Savor each bite of marinated sirloin steak, golden tots, melty cheddar cheese and fluffy eggs, all wrapped in a warm flour tortilla.",Burrito
367,"A large burrito with shredded bbq chicken, ranch beans, choice of white or brown rice, cilantro, cheese blend and sour cream. served in a pool of enchilada sauce",Burrito
371,"Marinated grilled chopped chicken and cheddar cheese fill a soft flour tortilla accompanied by spanish rice, mexicorn and chili beans finished with our salsa.",Burrito
372,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
379,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
380,"Loaded with egg, crumbled sausage, bacon and diced ham, lots of shredded cheddar cheese, then wrapped in a warm flour tortilla served with zesty salsa",Burrito
384,"Refried beans, jack and cheddar cheese in a flour tortilla.",Burrito
385,Served with choice of drink and choice of side.,Burrito
391,"Your choice of meat, stuffed in a burrito with beans and cheese, red and green chile, served with Spanish rice",Burrito
393,"Burrito with your choice of filling, smothered in enchilada sauce and cheese, with rice and beans",Burrito
395,"Flour or whole wheat tortilla filled with your choice of black or refried beans, rice, white onions, cilantro, our special cheese blend and a side of sour cream. your choice of filling.",Burrito
396,(bean and cheese),Burrito
401,"Diced Bacon, Pork Sausage, Ham, 3 Cheeses. Topped with Sausage Gravy",Burrito
403,"Meat of choice, saffron rice, homemade black beans and freshly roasted salsa.",Burrito
404,"(2) organic eggs, country roasted potatoes, homemade black beans and our roasted salsa.",Burrito
405,"Meat of choice, saffron rice, homemade black beans and freshly roasted salsa.",Burrito
406,"(2) organic eggs, country roasted potatoes, homemade black beans and our roasted salsa.",Burrito
412,"Bison picadillo, refried beans, hq potatoes, jalapenos, guacamole, pico de gallo, btt cheese blend",Burrito
413,"Choice of grilled chicken, flank steak or verde pork refried beans, rice, btt cheese blend",Burrito
414,"Wojo veggies, spinach, black beans, scallion rice, queso fresco",Burrito
418,"Choice of chicken, seasoned beef, or bean.",Burrito
419,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
421,Chicken breast shredded in mole poblano sauce,Burrito
422,"Chipotle, spinach, tomato or wheat tortilla",Burrito
426,"Scrambled eggs with green chile, chorizo and chopped onions wrapped in a flour tortilla.",Burrito
427,"Scrambled eggs, hash browns, homemade green chili and your choice of bacon or sausage wrapped in a flour tortilla.",Burrito
428,"Scrambled eggs with fresh chopped green chile, tomatoes and onions wrapped in a flour tortilla.",Burrito
435,"Put a stake in your hunger with the new steak and egg breakfast burrito. Savor each bite of marinated sirloin steak, golden tots, melty cheddar cheese and fluffy eggs, all wrapped in a warm flour tortilla.",Burrito
436,Fresh sliced pork marinated and slow cooked in green chile,Burrito
437,Fresh pork marinated and slow cooked in red chile,Burrito
438,Shredded chicken slow cooked in a mild herb sauce,Burrito
439,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
440,"Egg whites, peppers, onions, cheddar, guacamole, salsa, breakfast potatoes",Burrito
441,"Stuffed with Jack cheese, mushrooms, avocado, roasted red peppers,fresh spinach, black beans, brown rice, and cilantro. Served with crisp tortillas.",Burrito
442,"with Egg, Chorizo, Cheddar, Green Onion, and Potato",Burrito
447,El pollo loco roja wet burrito is an indulgent and hearty chicken burrito that is smothered in a flavorful colorado sauce and served with our fresh hand-made guacamole and creamy sour cream.,Burrito
449,"El pollo loco chicken avocado burrito is stuffed with our citrus-marinated flame-grilled chicken, fresh avocado, cabbage and creamy cilantro dressing.",Burrito
450,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
451,"Four eggs scrambled with linguica, Ortega green chilies, tomatoes and cheddar cheese, stuffed and rolled in a large flour tortilla. Served with sour cream and fresh salsa",Burrito
453,Beans and cheese burrito.,Burrito
455,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
456,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
457,Beef steak.,Burrito
458,"Scrambled eggs, housemade chorizo, cheddar, black beans avocado, sour cream, salsa, tortilla",Burrito
459,"Scrambled eggs, grilled steak, pepperjack cheese, shredded jack and cheddar cheeses and fresh salsa wrapped in a warm flour tortilla.",Burrito
460,"Scrambled eggs, sausage, ham, bacon bits, hash brown nuggets, shredded jack and cheddar cheeses and fresh salsa wrapped in a warm flour tortilla.",Burrito
461,"Scrambled eggs, two strips of bacon, shredded jack and cheddar cheeses wrapped in a warm flour tortilla.",Burrito
463,"Jumbo flour tortilla filled with grilled chicken or steak, onions, tomatoes and jalapenos. topped with melted cheese, lettuce, sour cream and pico de gallo",Burrito
464,"Two beef burritos with nacho cheese,  topped with enchilada sauce. served with rice and beans",Burrito
465,"Two rolled flour tortillas filled with shredded beef and beans, topped with nacho cheese sauce and served with guacamole salad",Burrito
466,"Two burritos, chicken and beans and beef and beans, topped with lettuce,  tomatoes and sour cream",Burrito
473,"Citrus rice, black beans, red tomatillo salsa and salsa fresca wrapped in a whole grain tortilla.",Burrito
476,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With chicken or steak.",Burrito
477,"Citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. With grilled all natural chicken or steak.",Burrito
478,Melted cheese and salsa fresca. With chicken or steak.,Burrito
479,Melted cheese and salsa fresca. With grilled all natural chicken or steak.,Burrito
480,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
483,"Large homemade, soft flour tortilla stuffed with beans and your choice of beef or chicken fajita, topped with beef gravy and melted cheese.",Burrito
490,"Homemade soft flour tortilla stuffed with beans and chicken ranchero, topped with beef gravy sauce and melted monterrey jack cheese.",Burrito
491,"Homemade soft flour tortilla stuffed with beans and ground beef, topped with beef gravy sauce and cheddar choose.",Burrito
496,"Homemade soft flour tortilla stuffed with beans and cheese, topped with beef gravy sauce and chile con queso.",Burrito
497,"Carnitas, jack cheese, pinto beans, pico de gallo and cilantro in a flour tortilla topped with verde sauce and sour cream",Burrito
503,Bean and cheese,Burrito
504,"All-steak burrito filled with diced charbroiled steak,  tomatoes and onions, topped with mildly spicy enchilada sauce and cheese. served with guacamole",Burrito
505,"An all chicken, beef or spicy pork burrito topped with strips of mild green chile, sour cream and a mild salsa ranchera.",Burrito
507,"A combination burrito with beans and your choice of shredded chicken, beef or spicy pork, topped with enchilada sauce and cheese",Burrito
509,"Scrambled eggs, bacon, cheddar and smoked gouda, home fries, hollandaise",Burrito
511,"The all-new zesty cheesesteak breakfast Burritos are like tiny alarm clocks for your mouth. Combining marinated sirloin steak, zesty cheese sauce, grilled onions, golden tots, fluffy eggs and melty cheddar cheese. Because breakfast should be more Mmmm than Zzzz.",Burrito
512,"Put a stake in your hunger with the new steak and egg breakfast burrito. Savor each bite of marinated sirloin steak, golden tots, melty cheddar cheese and fluffy eggs, all wrapped in a warm flour tortilla.",Burrito
513,"(rice, beans, lettuce, pico de gallo)",Burrito
520,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
525,"Your choice of bean, beef, carnitas, chicken or carne asada and smothered in green or red sauce and melted cheese.",Burrito
528,"A large flour tortilla filled with beans, rice, lettuce, tomatoes, cheese, sour cream, guacamole and your choice of meat. served olamendi style, topped sauce and melted cheese.",Burrito
534,"Small dry burrito with your choice of bean and cheese, beef or chicken.",Burrito
535,"Scrambled eggs, sausage, peppers, onions and cheddar jack cheese with a side of salsa, sour cream and home fries",Burrito
538,"A flour tortilla filled with beans, fajita beef or chicken and topped with ranchero sauce or chili. served with rice and beans. fajita flavor with a twist.",Burrito
539,"Black beans, peppers, onions, tomato, fresh spinach and melted cheese in a whole wheat wrap, served with chips and salsa",Burrito
541,"Flour tortillas stuffed with scrambled eggs, green peppers, fried beans, cheese and chipotle sauce (relleno de Huevo, rajas, frijoles, queso, y salsa chipotle)",Burrito
544,"Everything you find in our burritos, without the tortilla. marinated and grilled meats or veggies, whole pinto or black beans, rice, cheese, and salsa.",Burrito
545,"A freshly made, giant flour tortilla, filled with your choice of marinated and grilled meats or veggies, whole pinto or black beans, rice, cheese, and salsa.",Burrito
548,"Served with sour cream, cheese and pico de gallo on top.",Burrito
549,"Stuffed with rice, beans, onions, cilantro, and chile de arbol salsa.",Burrito
551,"Rice, beans, avocado, sour cream, sauce",Burrito
556,"Chile con carne, beans, rice, cheddar cheese, tomato salsa, sour cream and guacamole",Burrito
565,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
572,Cabo style or caesar style.,Burrito
573,"Black beans, rice, jack cheese, onions, cilantro and spicy chipotle  sauce.  choice of chicken, pork carnitas, steak, wahoo or shrimp",Burrito
574,"Black or pinto beans, rice, cilantro and onions.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
575,"Melted jack cheese, guacamole and pico de gallo.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
